Report,District Name,RCDTS,Participating?,NCESID,ROE_x,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,key,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name
Brooks Middle School- Harvey SD 152,Harvey SD 152,7.01615E+13,7.01615E+13,1.71845E+11,7,School,Brooks Middle School,Harvey,Cook,ELEMENTARY,LARGE,MIDDLE SCHL,8-Jun,,Comprehensive,483,,61.9,33.1,,,,3.5,13.5,13.3,18,80.3,28.8,12,90.5,11.6,262,50.1,,,21.1,5,,,,,76.7,,,5,,,16,1,7,1,16,1,24,2,53,3,91.3,74.2,62,484,10,481,43,42.6,37,172,21.6,,,36.8,77,123,,,85,37,1,Brooks Middle School- Harvey SD 152,12565,Middle/Jr. High,12564,7,1,2023,TComp,Northeast,2779,91.3,74.2,485,31,3,15,1,36,1,1,16,35,1,3,19,11,1,26,7,11,9,1,1,,42,6,57,64,,17,67,11,34,55,4,11,1,43,,27,18,16,7,16,24,53,1,-4,Illinois,Brooks Middle School,7.01615E+13,1,Harvey SD 152,1718450,21-Suburb: Large,2,0.881355932,0.47645951,,0.013182674,0.34086629,0.615819209,0.009416196,,0.020715631,17.7,531,5-Title I schoolwide school,IL-07-016-1520-02-0701615201001,IL-07-016-1520-02,No,468,278,253,–,7,181,327,5,–,11,531,30,17.7,Middle,6th Grade,8th Grade,56,1,Northeast
Bryant Elementary School- Harvey SD 152,Harvey SD 152,7.01615E+13,,1.71845E+11,7,School,Bryant Elementary School,Harvey,Cook,ELEMENTARY,LARGE,ELEMENTARY,K - 5,,Targeted,310,,70.3,21.9,4.2,,,,7.4,7.4,23.9,50,21.3,,89.8,14.8,159,53,,,22,2.3,,,,,82.3,,,1,,,29,2,28,2,33,2,52,3,44,3,92,72,32,173,24,173,39.3,31.7,9,51,17.6,,,41.7,6,11,,,1,10,,,,,,,,,,,2780,92,72,112,25,56,46,12,32,1,24,35,45,25,1,25,13,23,32,75,28,24,36,16,,87,,83,59,,,40,,57,46,,66,16,,,75,49,29,28,33,52,44,1,-3,Illinois,Bryant Elem School,7.01615E+13,0,Harvey SD 152,1718450,21-Suburb: Large,2,0.681818182,0.46969697,,0.051515152,0.221212121,0.693939394,0.006060606,,0.027272727,16.82,330,5-Title I schoolwide school,IL-07-016-1520-02-0701615202001,IL-07-016-1520-02,No,225,175,155,–,17,73,229,2,–,9,330,19.62,16.82,Elementary,Kindergarten,5th Grade,7,1,Northeast
Maya Angelou Elementary Sch- Harvey SD 152,Harvey SD 152,7.01615E+13,,1.71845E+11,7,School,Maya Angelou Elementary Sch,Harvey,Cook,ELEMENTARY,LARGE,ELEMENTARY,K - 5,,Comprehensive,190,,84.2,12.6,,,,,,,6.3,65.8,39.5,,88.9,13.4,97,53,,,21.4,2,,,,,68.3,,,2,,,18,1,20,2,22,2,42,3,35,2,94.5,82.3,8,101,1,101,45.3,30.5,2,30,6.7,,,40.8,16,33,,,25,8,,,,,,,,,,,2783,94.5,82.3,55,17,1,1,28,25,25,1,19,31,33,1,22,20,1,1,58,3,25,48,1,,53,,74,48,,,52,,56,38,,67,21,,,59,36,18,20,22,42,35,1,-4,Illinois,Maya Angelou Elem Sch,7.01615E+13,0,Harvey SD 152,1718450,21-Suburb: Large,2,0.74122807,0.442982456,,,0.127192982,0.855263158,,,0.01754386,15.72,228,5-Title I schoolwide school,IL-07-016-1520-02-0701615202002,IL-07-016-1520-02,No,169,127,101,–,–,29,195,–,–,4,228,14.5,15.72,Elementary,Kindergarten,5th Grade,7,1,Northeast
Holmes Elementary School- Harvey SD 152,Harvey SD 152,7.01615E+13,7.01615E+13,1.71845E+11,7,School,Holmes Elementary School,Harvey,Cook,ELEMENTARY,LARGE,ELEMENTARY,K - 5,,Comprehensive,185,,17.3,82.7,,,,,7.6,7.6,67,70.3,13.5,,89.5,14.9,41,23.7,,,18.1,2,,,,,82.7,,,3,,,39,2,24,2,24,2,51,3,61,4,99.9,90,5,92,4,92,36.4,41,3,24,12.5,,,44.5,3,3,,,1,2,,Holmes Elementary School- Harvey SD 152,12569,Elementary,12564,7,1,2023,CSI/NA,Northeast,2781,99.9,90,62,20,80,5,5,35,4,41,29,35,19,21,30,12,30,52,14,18,49,52,57,,87,,78,64,,,72,,47,54,,36,27,,,72,41,39,24,24,51,61,2,-2,Illinois,Holmes Elem School,7.01615E+13,1,Harvey SD 152,1718450,21-Suburb: Large,2,0.798122066,0.441314554,,,0.812206573,0.183098592,,,0.004694836,12.17,213,5-Title I schoolwide school,IL-07-016-1520-02-0701615202004,IL-07-016-1520-02,No,170,119,94,–,–,173,39,–,–,1,213,17.5,12.17,Elementary,Kindergarten,5th Grade,15,7,City of Chicago
Whittier Elementary School- Harvey SD 152,Harvey SD 152,7.01615E+13,,1.71845E+11,7,School,Whittier Elementary School,Harvey,Cook,ELEMENTARY,LARGE,ELEMENTARY,K - 5,,Commendable,231,,71.9,19.9,4.8,,,,6.1,6.1,18.2,80.1,31.2,,90.1,9.8,105,51,,,22.3,2,,,,,69.6,,,2,,,24,2,11,1,18,1,45,3,39,2,99.9,99.9,14,122,2,122,49.6,60.4,7,37,18.9,,,40,11,19,,,Not Provided,19,,,,,,,,,,,2786,99.9,99.9,77,17,24,1,1,27,1,18,35,38,14,1,18,1,12,1,45,1,16,22,1,,87,,72,58,,,41,,52,54,,39,11,,,51,31,24,11,18,45,39,1,-4,Illinois,Whittier Elem School,7.01615E+13,0,Harvey SD 152,1718450,21-Suburb: Large,2,0.958333333,0.483333333,,0.058333333,0.1875,0.720833333,0.004166667,,0.029166667,15.29,240,5-Title I schoolwide school,IL-07-016-1520-02-0701615202008,IL-07-016-1520-02,No,230,124,116,–,14,45,173,1,–,7,240,15.7,15.29,Elementary,Prekindergarten,5th Grade,6,1,Northeast
Riley Early Childhood Center- Harvey SD 152,Harvey SD 152,7.01615E+13,,1.71845E+11,7,School,Riley Early Childhood Center,Harvey,Cook,ELEMENTARY,LARGE,PreK,PK,,,124,,55.6,37.1,,,,,12.1,12.1,26.6,91.1,20.2,,,,,,,,,4.6,,,,,96,,,3,,,55,3,42,3,37,2,,0,,0,0,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Riley Early Childhood Center,7.01615E+13,0,Harvey SD 152,1718450,21-Suburb: Large,2,0.810344828,0.5,,0.060344828,0.318965517,0.603448276,,,0.017241379,14.5,116,1-Title I targeted assistance eligible school-No program,IL-07-016-1520-02-0701615203001,IL-07-016-1520-02,No,94,58,58,–,7,37,70,–,–,2,116,8,14.5,Prekindergarten,Prekindergarten,Prekindergarten,7,1,Northeast
Barack H Obama Learning Academy- Hazel Crest SD 152-5,Hazel Crest SD 152-5,7.01615E+13,,1.7186E+11,7,School,Barack H Obama Learning Academy,Markham,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 8,,Targeted,456,,81.8,16.4,,,,,10.7,10.7,,99.6,,0,90.5,15.6,273,66.1,,,22.3,3,,,,,73.5,,,4,,,21,2,19,1,7,1,19,1,32,2,99.9,71.9,27,283,7,284,45.3,45.6,19,92,20.9,,,36.8,92,145,,,,145,,,,,,,,,,,2797,99.9,71.9,216,32,1,21,5,19,2,10,20,13,6,1,27,25,6,1,84,3,34,38,7,,26,6,39,46,,32,57,2,26,23,8,18,9,42,,28,13,21,19,7,19,32,1,-5,Illinois,Barack H Obama Learning Academy,7.01615E+13,0,Hazel Crest SD 152-5,1718600,21-Suburb: Large,2,0.938997821,0.472766885,0.006535948,,0.135076253,0.851851852,0.002178649,0.002178649,0.002178649,12.75,459,2-Title I targeted assistance school,IL-07-016-1525-02-0701615252001,IL-07-016-1525-02,No,431,242,217,3,–,62,391,1,1,1,459,36,12.75,Elementary,Prekindergarten,8th Grade,7,1,Northeast
Jesse C White Learning Academy- Hazel Crest SD 152-5,Hazel Crest SD 152-5,7.01615E+13,,1.7186E+11,7,School,Jesse C White Learning Academy,Hazel Crest,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 8,,Commendable,412,,90.3,7.3,,,,,9.7,9.7,,99,,0,91.7,23.7,224,55.2,,,19.6,3,,,,,63.7,,,2,,,35,2,30,2,28,2,31,2,39,2,92.9,81.6,22,278,14,278,44.5,39.4,30,90,33.7,,,29.5,51,60,,,,60,Not Provided,,,,,,,,,,2801,92.9,81.6,226,38,15,36,18,25,2,33,37,43,14,10,50,51,20,14,84,27,46,25,18,,40,31,49,36,,24,51,29,47,56,29,37,9,54,,36,28,35,30,28,31,39,1,-5,Illinois,Jesse C White Learning Academy,7.01615E+13,0,Hazel Crest SD 152-5,1718600,21-Suburb: Large,2,0.919047619,0.469047619,0.002380952,0.004761905,0.071428571,0.907142857,0.011904762,,0.002380952,13.22,420,2-Title I targeted assistance school,IL-07-016-1525-02-0701615252005,IL-07-016-1525-02,No,386,223,197,1,2,30,381,5,–,1,420,31.77,13.22,Elementary,Prekindergarten,8th Grade,7,1,Northeast
James Hart School- Homewood SD 153,Homewood SD 153,7.01615E+13,,1.71953E+11,7,School,James Hart School,Homewood,Cook,ELEMENTARY,LARGE,MIDDLE SCHL,8-Jun,,Commendable,706,20,58.4,14,,,,7.1,21.7,15.7,1.7,43.2,2.3,5.6,91.1,5.4,158,21.6,,,20,5,,,,,88.4,,,2,,,52,3,48,3,41,3,21,2,50,3,87.5,61.8,219,706,123,706,48.2,55.7,102,245,41.6,,,31.6,72,101,,,2,99,,,,,,,,,,,2854,87.5,61.8,713,68,51,56,46,52,13,47,59,50,30,15,47,46,33,34,99,44,50,56,18,,29,23,25,53,,45,62,1,32,49,31,26,1,59,,34,21,52,48,41,21,50,2,-1,Illinois,James Hart School,7.01615E+13,0,Homewood SD 153,1719530,21-Suburb: Large,2,0.396957123,0.484094053,0.001383126,0.001383126,0.123098202,0.598893499,0.206085754,,0.069156293,11.66,723,2-Title I targeted assistance school,IL-07-016-1530-02-0701615301003,IL-07-016-1530-02,No,287,373,350,1,1,89,433,149,–,50,723,62,11.66,Middle,6th Grade,8th Grade,7,1,Northeast
Winston Churchill School- Homewood SD 153,Homewood SD 153,7.01615E+13,,1.71953E+11,7,School,Winston Churchill School,Homewood,Cook,ELEMENTARY,LARGE,ELEMENTARY,5-Mar,,Commendable,595,26.6,50.4,14.8,,,,7.6,22,14.5,2.4,40,,,92.9,5.9,85,13.7,,,21.6,5,,,,,81.2,,,2,,,37,2,35,2,47,3,50,3,50,3,97.1,86.7,231,599,181,599,51.8,54.6,122,243,50.2,,,20.9,29,54,,,36,18,,,,,,,,,,,2857,97.1,86.7,420,60,41,61,25,39,26,30,44,55,49,31,28,39,7,33,99,37,34,56,5,,65,,54,48,,,72,,54,47,,65,33,,,56,47,37,35,47,50,50,2,-2,Illinois,Winston Churchill School,7.01615E+13,0,Homewood SD 153,1719530,21-Suburb: Large,2,0.381967213,0.513114754,0.003278689,0.001639344,0.150819672,0.506557377,0.263934426,,0.073770492,11.6,610,2-Title I targeted assistance school,IL-07-016-1530-02-0701615302002,IL-07-016-1530-02,No,233,297,313,2,1,92,309,161,–,45,610,52.6,11.6,Elementary,3rd Grade,5th Grade,7,1,Northeast
Willow School- Homewood SD 153,Homewood SD 153,7.01615E+13,,1.71953E+11,7,School,Willow School,Homewood,Cook,ELEMENTARY,LARGE,ELEMENTARY,PK - 2,,Commendable,601,24,49.6,16.8,,,,9.7,19,15.3,4.7,42.3,,,91,6.1,69,18.4,,,20.3,5,,,,,88.5,,,1,,,35,2,44,3,61,4,,0,,0,0,57.3,,,,,,,,,,,,33.3,6,10,,,,10,,,,,,,,,,,2856,0,57.3,0,75,65,56,48,45,49,25,36,54,75,41,33,61,38,51,99,55,32,47,29,,,,,,,,,,,,,,,,,,,35,44,61,,,3,0,Illinois,Willow School,7.01615E+13,0,Homewood SD 153,1719530,21-Suburb: Large,2,0.382758621,0.475862069,0.001724138,,0.172413793,0.481034483,0.255172414,,0.089655172,11.98,580,2-Title I targeted assistance school,IL-07-016-1530-02-0701615302005,IL-07-016-1530-02,No,222,304,276,1,–,100,279,148,–,52,580,48.4,11.98,Elementary,Prekindergarten,2nd Grade,7,1,Northeast
Wolcott School- Thornton SD 154,Thornton SD 154,7.01615E+13,,1.73891E+11,7,School,Wolcott School,Thornton,Cook,ELEMENTARY,SMALL,ELEMENTARY,K - 8,,Targeted,245,21.6,30.6,39.2,,,,8.6,15.1,15.1,13.5,52.7,,0,93,9.1,26,11.2,,,25.1,5,,,,,83.9,,,2,,,,0,,0,,0,39,2,27,2,91.3,42.3,50,165,36,165,52.5,49.6,21,55,39.6,,,24.9,,,,,,,,,,,,,,,,,4509,91.3,42.3,138,26,,,,,,,,,,,,,,,,,,,,,51,27,36,22,,51,33,32,32,25,1,22,32,21,,29,42,,,,39,27,2,-2,Illinois,Wolcott School,7.01615E+13,0,Thornton SD 154,1738910,21-Suburb: Large,2,0.514403292,0.436213992,,,0.366255144,0.304526749,0.263374486,,0.065843621,11.05,243,5-Title I schoolwide school,IL-07-016-1540-02-0701615402002,IL-07-016-1540-02,No,125,137,106,–,–,89,74,64,–,16,243,22,11.05,Elementary,Kindergarten,8th Grade,7,1,Northeast
Burnham Elementary School- Burnham SD 154-5,Burnham SD 154-5,7.01615E+13,,1.70786E+11,7,School,Burnham Elementary School,Burnham,Cook,ELEMENTARY,SMALL,ELEMENTARY,PK - 8,,Targeted,159,,37.7,53.5,,,,,8.2,8.2,23.9,94.3,,0,91.7,14.6,42,27.6,,,17.9,5,,,,,93.1,,,2,,,30,2,36,2,42,3,28,2,39,2,88.8,78.3,15,110,3,111,40.2,47.2,5,36,13.9,,,27.8,Not Provided,Not Provided,,,Not Provided,Not Provided,Not Provided,,,,,,,,,,1808,88.8,78.3,89,23,42,1,49,26,27,22,31,41,39,35,13,4,59,29,55,45,40,59,32,,27,1,28,56,,41,41,30,41,31,12,36,20,20,,34,23,30,36,42,28,39,1,-4,Illinois,Burnham Elem School,7.01615E+13,0,Burnham SD 154-5,1707860,21-Suburb: Large,2,0.954285714,0.497142857,,,0.52,0.4,0.057142857,,0.022857143,16.2,175,2-Title I targeted assistance school,IL-07-016-1545-02-0701615452001,IL-07-016-1545-02,No,167,88,87,–,–,91,70,10,–,4,175,10.8,16.2,Elementary,Prekindergarten,8th Grade,7,1,Northeast
Wentworth Jr High School- Calumet City SD 155,Calumet City SD 155,7.01616E+13,,1.74152E+11,7,School,Wentworth Jr High School,Calumet City,Cook,ELEMENTARY,MEDIUM,MIDDLE SCHL,8-Jun,,Targeted,305,,56.7,41.3,,,,,14.1,14.1,19,71.5,,0,90.8,11.1,132,39.6,,,16,5,,,,,89.4,,,3,,,37,2,25,2,4,1,30,2,59,3,99.9,90,27,309,19,307,41.4,55.7,28,96,29.5,,,35.7,125,477,,,377,100,,,,,,,,,,,1834,99.9,90,299,30,1,38,22,45,12,28,34,11,1,1,17,48,7,1,99,1,40,42,5,,45,39,68,70,,28,92,17,55,73,9,34,1,42,,23,18,37,25,4,30,59,1,-4,Illinois,Wentworth Jr High School,7.01616E+13,0,Calumet City SD 155,1741520,21-Suburb: Large,2,0.838983051,0.451977401,,,0.375706215,0.607344633,0.008474576,,0.008474576,11.42,354,5-Title I schoolwide school,IL-07-016-1550-02-0701615501001,IL-07-016-1550-02,No,297,194,160,–,–,133,215,3,–,3,354,31,11.42,Middle,6th Grade,8th Grade,7,1,Northeast
Wilson Elementary School- Calumet City SD 155,Calumet City SD 155,7.01616E+13,7.01616E+13,1.74152E+11,7,School,Wilson Elementary School,Calumet City,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 2,,Comprehensive,360,,56.1,36.9,,,,4.4,8.6,8.6,20,66.7,,,88.7,13.3,,,,,27,3,,,,,88.4,,,2,,,55,3,30,2,48,3,,0,,0,0,66.7,,,,,,,,,,,,46.1,17,25,,,,25,,Wilson Elementary School- Calumet City SD 155,10472,Elementary,10469,7,1,2023,CSI/NA,Northeast,1835,0,66.7,0,30,48,36,31,46,43,49,70,43,53,56,30,39,13,41,99,47,53,40,25,,,,,,,,,,,,,,,,,,,55,30,48,,,2,-1,Illinois,Wilson Elementary School,7.01616E+13,1,Calumet City SD 155,1741520,21-Suburb: Large,2,0.826815642,0.466480447,0.002793296,,0.363128492,0.583798883,0.016759777,,0.033519553,15.57,358,5-Title I schoolwide school,IL-07-016-1550-02-0701615502002,IL-07-016-1550-02,No,296,191,167,1,–,130,209,6,–,12,358,23,15.57,Elementary,Prekindergarten,2nd Grade,7,1,Northeast
Wentworth Intermediate School- Calumet City SD 155,Calumet City SD 155,7.01616E+13,7.01616E+13,1.74152E+11,7,School,Wentworth Intermediate School,Calumet City,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,5-Mar,,Comprehensive,271,,58.3,36.5,,,,4.1,12.2,12.2,26.2,79.7,,,90.5,9.8,135,46.1,,,23.4,3,,,,,93.8,,,2,,,26,2,32,2,6,1,56,3,42,3,95.4,88.5,22,276,4,276,41.4,34.7,21,86,24.4,,,37.1,46,80,,,52,28,,Wentworth Intermediate School- Calumet City SD 155,10474,Elementary,10469,7,1,2023,CSI/NA,Northeast,1833,95.4,88.5,173,26,47,41,26,41,21,21,20,8,9,5,29,32,5,8,99,1,20,57,22,,78,,67,54,,,49,,68,56,,53,24,,,63,52,26,32,6,56,42,1,-3,Illinois,Wentworth Intermediate School,7.01616E+13,1,Calumet City SD 155,1741520,21-Suburb: Large,2,0.857677903,0.490636704,0.007490637,,0.400749064,0.554307116,0.014981273,,0.02247191,12.71,267,5-Title I schoolwide school,IL-07-016-1550-02-0701615502004,IL-07-016-1550-02,No,229,136,131,2,–,107,148,4,–,6,267,21,12.71,Elementary,3rd Grade,5th Grade,7,1,Northeast
Lincoln Elementary School- Lincoln ESD 156,Lincoln ESD 156,7.01616E+13,,1.7081E+11,7,School,Lincoln Elementary School,Calumet City,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 8,,Targeted,735,2.3,56.3,40.5,,,,,10.9,10.9,20.5,99.5,,16.5,90.6,11.3,237,34.6,,,25,2.7,,,,,88.5,,,3,,,38,2,31,2,26,2,30,2,43,3,96.6,54.2,120,509,43,510,51.8,47.9,55,176,31.3,,,35.1,64,103,,,11,91,1,,,,,,,,,,3156,96.6,54.2,407,72,12,25,23,28,20,31,32,35,15,26,44,30,19,16,99,29,60,43,3,,45,23,46,48,,32,58,6,35,48,7,31,12,49,,39,28,38,31,26,30,43,1,-4,Illinois,Lincoln Elem School,7.01616E+13,0,Lincoln ESD 156,1708100,21-Suburb: Large,2,0.996328029,0.461444308,,,0.432068543,0.545899633,0.012239902,,0.009791922,17.02,817,5-Title I schoolwide school,IL-07-016-1560-02-0701615602001,IL-07-016-1560-02,No,814,440,377,–,–,353,446,10,–,8,817,48,17.02,Elementary,Prekindergarten,8th Grade,6,1,Northeast
Schrum Memorial School- Hoover-Schrum Memorial SD 157,Hoover-Schrum Memorial SD 157,7.01616E+13,,1.71968E+11,7,School,Schrum Memorial School,Calumet City,Cook,ELEMENTARY,MEDIUM,MIDDLE SCHL,8-Jun,,Commendable,272,,75,21,,,,,16.2,13.6,13.2,71,,8.2,92.3,12.5,155,53.6,,,18.5,5,,,,,73.4,,,2,,,47,3,44,3,36,2,38,2,66,4,98.5,83.9,74,269,12,269,58.8,44.9,26,97,27.1,,,27.5,52,81,,,50,31,,,,,,,,,,,2865,98.5,83.9,260,31,37,22,42,45,6,42,55,56,23,1,70,14,27,10,99,30,45,60,29,,37,58,83,86,,25,94,4,72,72,13,45,4,64,,30,38,47,44,36,38,66,2,-1,Illinois,Schrum Memorial School,7.01616E+13,0,Hoover-Schrum Memorial SD 157,1719680,21-Suburb: Large,2,0.80730897,0.521594684,0.003322259,0.006644518,0.242524917,0.724252492,0.003322259,,0.019933555,11.07,301,5-Title I schoolwide school,IL-07-016-1570-02-0701615701001,IL-07-016-1570-02,No,243,144,157,1,2,73,218,1,–,6,301,27.2,11.07,Middle,6th Grade,8th Grade,7,1,Northeast
Hoover Elementary School- Hoover-Schrum Memorial SD 157,Hoover-Schrum Memorial SD 157,7.01616E+13,,1.71968E+11,7,School,Hoover Elementary School,Calumet City,Cook,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 5,,Commendable,540,,73,24.6,,,,,10,8.3,20,57,3.1,,91.6,11.5,113,25.5,,,20.5,2,,,,,91.1,,,2,,,33,2,19,1,26,2,41,3,49,3,99.4,95.9,44,238,20,237,54.3,47.6,23,87,26.4,,,29.6,85,172,,,82,90,,,,,,,,,,,2864,99.4,95.9,156,49,46,25,1,34,5,37,30,50,21,1,41,17,1,23,64,8,32,26,2,,67,,67,62,,,57,,41,53,,52,21,,,53,35,33,19,26,41,49,1,-3,Illinois,Hoover Elem School,7.01616E+13,0,Hoover-Schrum Memorial SD 157,1719680,21-Suburb: Large,2,0.694394213,0.457504521,,,0.227848101,0.745027125,0.001808318,,0.025316456,14.71,553,5-Title I schoolwide school,IL-07-016-1570-02-0701615702001,IL-07-016-1570-02,No,384,300,253,–,–,126,412,1,–,14,553,37.59,14.71,Elementary,Prekindergarten,5th Grade,7,1,Northeast
Memorial Jr High School- Lansing SD 158,Lansing SD 158,7.01616E+13,,1.72202E+11,7,School,Memorial Jr High School,Lansing,Cook,ELEMENTARY,LARGE,MIDDLE SCHL,8-Jun,,Targeted,835,7.2,57.5,29.2,,,,4.9,14.7,14.6,6.1,46.2,,17.5,90.1,6.9,,,,,25,5,,,,,82.8,,,1,,,45,3,45,3,39,2,17,1,51,3,99.5,78.9,199,850,61,850,47.5,45.9,106,286,37.3,,,28.9,94,126,,,,126,,,,,,,,,,,3114,99.5,78.9,817,71,42,62,37,48,11,44,48,59,27,22,47,53,26,29,84,31,39,52,17,,24,10,27,65,,38,72,1,20,38,14,10,4,45,,32,20,45,45,39,17,51,2,-2,Illinois,Memorial Jr High School,7.01616E+13,0,Lansing SD 158,1722020,21-Suburb: Large,2,0.481045752,0.469281046,0.00130719,0.003921569,0.270588235,0.605228758,0.08627451,0.002614379,0.030065359,14.04,765,5-Title I schoolwide school,IL-07-016-1580-02-0701615801004,IL-07-016-1580-02,No,368,406,359,1,3,207,463,66,2,23,765,54.47,14.04,Middle,6th Grade,8th Grade,7,1,Northeast
Coolidge Elementary School- Lansing SD 158,Lansing SD 158,7.01616E+13,,1.72202E+11,7,School,Coolidge Elementary School,Lansing,Cook,ELEMENTARY,LARGE,ELEMENTARY,K - 5,,Targeted,635,9.9,45.5,38.1,,,,6,13.9,13.9,4.3,23.9,,,92.5,5.5,,,,,23.2,2,,,,,86,,,1,,,46,3,46,3,58,3,50,3,51,3,99.5,93.1,90,363,41,363,44.4,48.9,54,122,44.3,,,26.1,11,12,,,,12,,,,,,,,,,,3112,99.5,93.1,221,58,38,41,45,45,59,54,50,72,59,33,57,46,28,34,93,43,34,61,13,,65,,59,58,,,57,,51,55,,57,31,,,57,51,46,46,58,50,51,3,0,Illinois,Coolidge Elementary School,7.01616E+13,0,Lansing SD 158,1722020,21-Suburb: Large,2,0.366806137,0.493723849,0.0027894,,0.337517434,0.472803347,0.114365411,0.0041841,0.068340307,18.7,717,5-Title I schoolwide school,IL-07-016-1580-02-0701615802001,IL-07-016-1580-02,No,263,363,354,2,–,242,339,82,3,49,717,38.34,18.7,Elementary,Kindergarten,6th Grade,7,1,Northeast
